,Image,Accuracy,F1,Jaccard,Recall,Precision
402,pexels-photo-722904_0,0.986171722412109,0.97617122535776,0.95345164107042,0.992899360808751,0.959997414183205
403,pexels-photo-725458_0,0.995254516601562,0.990427381996706,0.981036296285004,0.98968105065666,0.991174839822573
404,pexels-photo-730055_0,0.996368408203125,0.997263943255563,0.99454281767164,0.997648154750267,0.996880027579867
405,pexels-photo-730837_0,0.996547698974609,0.987789905422361,0.97587438686287,0.998881248635669,0.976942168610392
406,pexels-photo-731794_sNHLIf9pHk_0,0.950054168701172,0.972639638566553,0.9467365834608,0.997839015208359,0.948681678841638
407,pexels-photo-732629_0,0.994968414306641,0.981088792349492,0.962879576731489,0.995866806380254,0.966742957249018
408,pexels-photo-732843_0,0.99200439453125,0.991538082665181,0.983218171773541,0.984084880636605,0.999105043486751
409,pexels-photo-733697_0,0.985305786132812,0.959543764572437,0.92223366240688,0.935051377573996,0.985353753235548
410,pexels-photo-736509_0,0.966281890869141,0.711002125224783,0.551592938311688,0.975331898098314,0.559397026290065
411,pexels-photo-743861_0,0.992877960205078,0.994090182485795,0.988249806471103,0.991012824396648,0.997186712136511
412,pexels-photo-743937_7TZxmJGKVc_0,0.988613128662109,0.985904984960595,0.972201786163288,0.977774447639296,0.994171872619229
413,pexels-photo-745136_0,0.984710693359375,0.974173260819136,0.949646976054675,0.980669434353918,0.967762585138526
414,pexels-photo-746801_0,0.981094360351562,0.986953912246896,0.974243841596508,0.978622774184455,0.995428116288331
415,pexels-photo-747007_0,0.985454559326172,0.984972510690287,0.97038998555609,0.978896243782069,0.991124682741117
416,pexels-photo-749074_0,0.983688354492188,0.963187437583939,0.928988973030424,0.931991603078871,0.996543984038194
417,pexels-photo-751160_0,0.994724273681641,0.997240121410711,0.99449543475319,0.994966690160755,0.999523965725532
